sku,name
28876-6-500g-lemon-lime,Kreatín monohydrát 100 % Creapure® - GymBeam 500 g - citrón limetka - 00
28928-1-201g-olive-oil,Extra panenský olivový olej v spreji - GymBeam 200 ml
28936-1-1000g-chocolate-hazelnut,Proteín Yum Yum Whey - BeastPink 1000 g - čokoláda lieskový oriešok
28936-2-1000g-white-chocolate-coconut,Proteín Yum Yum Whey - BeastPink 1000 g - biela čokoláda kokos
28936-3-1000g-vanilla-ice-cream,Proteín Yum Yum Whey - BeastPink 1000 g - vanilková zmrzlina
28936-4-strawberrysplash,Proteín Yum Yum Whey - BeastPink 1000 g - strawberry splash
28991-1,Šejker Sway Blue 400 ml - GymBeam single_variant
29001-1,Šejker BeastPink biely 700 ml - BeastPink single_variant
29059-1-60tabs,Chróm Pikolinát - GymBeam 60 tab.
29059-2-120tabs,Chróm Pikolinát - GymBeam 120 tab.
29080-1-lemon-lime,Energetický nápoj MOXY bcaa+ 330 ml - GymBeam 250 ml - citrón limetka
29080-2-24x250ml-lemon-lime,Energetický nápoj MOXY bcaa+ 330 ml - GymBeam 24 x 250 ml - citrón limetka
29089-1-120caps,Vita Pink - BeastPink + darček 120 kaps.
29117-1,Posilňovacie koliesko Ab Wheel - GymBeam single_variant
29118-1,Adaptér na kliky Push Up Bar - GymBeam single_variant
29120-1-orange,Fitlopta FitBall 65 cm - GymBeam oranžová
29120-2-grey,Fitlopta FitBall 65 cm - GymBeam sivá
29302-3,Proteínová tyčinka - Barebells 55 g - kešu karamel
29302-4,Proteínová tyčinka - Barebells 55 g - slané arašidy
29302-5,Proteínová tyčinka - Barebells 55 g - biela čokoláda mandľa
29302-6,Proteínová tyčinka - Barebells 55 g - lieskový orech nugát
29307-1-60ml-lemon-lime,Thor Shot - GymBeam citrón limetka - 60 ml
29307-2-60ml-watermelon,Thor Shot - GymBeam vodný melón - 60 ml
29307-6-mangomaracuja-60ml,Thor Shot - GymBeam mango marakuja - 60 ml
29307-8-greenapple-60ml,Thor Shot - GymBeam zelené jablko - 60 ml
29378-1-60caps,ProbioTen - GymBeam + darčeky 60 kaps. - 00
29401-1-90-caps,Magnézium chelát (bisglycinát) - GymBeam + darčeky 90 kaps.
29401-2-180caps,Magnézium chelát (bisglycinát) - GymBeam + darčeky 180 kaps.
"29406-1-milkchocolate-21,5g",
29576-1,Šejker BeastPink Mint 700 ml - BeastPink single_variant
29626-1,Šejker oranžový 700 ml - GymBeam single_variant
29628-1,Šejker čierny 700 ml - GymBeam 700 ml
29630-1,Šejker modrý 700 ml - GymBeam single_variant
29634-1,
29663-1,ZERO SIRUP slaný karamel - GymBeam 350 ml
29667-1-300-g-lemon-lime,Kreatín Crea7in - GymBeam 300 g - citrón limetka
29667-2-300-g-watermelon,Kreatín Crea7in - GymBeam 300 g - vodný melón
29667-3-300-g-green-apple,Kreatín Crea7in - GymBeam 300 g - zelené jablko
29667-4-300-g-peach-ice-tea,Kreatín Crea7in - GymBeam 300 g - broskyňa ľadový čaj
29667-5-600-g-peach-ice-tea,Kreatín Crea7in - GymBeam 600 g - broskyňa ľadový čaj
29667-6-600-g-green-apple,Kreatín Crea7in - GymBeam 600 g - zelené jablko
29667-7-600-g-watermelon,Kreatín Crea7in - GymBeam 600 g - vodný melón
29667-8-600-g-lemon-lime,Kreatín Crea7in - GymBeam 600 g - citrón limetka
29676-1-90-tabs,Vitamín B-Complex Forte - GymBeam 90 tab.
29681-1-red,Švihadlo Red - GymBeam single_variant
29691-1-90-tab,Vitamín B12 (kobalamín) - GymBeam 90 tab.
29698-1,Podložka na cvičenie Yoga Mat Oranžová - GymBeam single_variant
29707-1-pink,"Fľaša Hydrator 1,89 l - BeastPink single_variant"
29712-1-270g-green-apple,Amino Beast - BeastPink zelené jablko
29712-2-270g-mango-maracuja,Amino Beast - BeastPink mango marakuja
29715-1-240g-strawberry-lemonade,Colla Pink - BeastPink + darček jahodová limonáda
29715-2-240g-mango-orange,Colla Pink - BeastPink + darček mango pomaranč
29715-3-grape,Colla Pink - BeastPink + darček hrozno
29715-4-wildberries,Colla Pink - BeastPink + darček lesné ovocie
29737-1-500g,Creatine Monohydrate - Amix 500 g
29737-3-300g,Creatine Monohydrate - Amix 300 g
29851-1-50ml,Zázvorový shot - GymBeam 50 ml
29854-2-220g-strawberry,Jammy Spread - GymBeam 220 g - jahoda
29943-1-20tabs,Vitamín C 1000 mg šumivý - GymBeam pomaranč - 20 tab.
29945-1-20tabs,Magnézium chelát + B6 šumivý - GymBeam pomaranč - 20 tab.
29956-1-300g,BIO Psyllium - GymBeam 300 g
29990-1-curry,ZERO OMÁČKA kari - GymBeam 350 ml
30162-1-340g,Mandľové maslo s kokosom a bielou čokoládou  - GymBeam 340 g
30248-1-60g-cookies-cream,MoiMüv Protein Bar - GymBeam 60 g - cookies & cream
30248-2-60g-crunchy-caramel,MoiMüv Protein Bar - GymBeam 60 g - chrumkavý karamel
30340-1-300g,BIO Greens Mix - VanaVita 300 g
30342-1-60caps,Vitamín D3 1000 IU - GymBeam 60 kaps.
30342-2-120-caps,Vitamín D3 1000 IU - GymBeam 120 kaps. - 00
30346-1-50ml,Zázvorový shot s kurkumou - GymBeam 50 ml
30689-1,Šejker zelený 700 ml - GymBeam single_variant
30713-10-500g-orange,EAA – GymBeam 500 g - pomaranč
30713-7-500g-green-apple,EAA – GymBeam 500 g - zelené jablko
30941-1-750,Šejker Steel 750 ml - GymBeam single_variant
30947-1-340g,Pistáciové maslo - GymBeam 340 g
31073-1,
31256-1,Zinok chelát (bisglycinát) - GymBeam 90 kaps.
31295-1-20tabs,L-karnitín 1000 mg šumivý - GymBeam 20 tab. - malina
31571,Vzorka - nechám sa prekvapiť
31577,Darček - nechám sa prekvapiť
32140-1-500ml-coral,Šejker koralový 500 ml - GymBeam single_variant
32146-1-500ml,Šejker olivovo zelený 500 ml - GymBeam single_variant
32169-1-500ml,Šejker červený 500 ml - GymBeam single_variant
32176-1-500ml,Šejker BeastPink Rose 500 ml - BeastPink single_variant
32182-1-700 ml,Šejker biely 700 ml - GymBeam single_variant
32188-1-700 ml,Šejker žltý 700 ml - GymBeam single_variant
32659-1-orange-grey-black,Posilňovacie gumy Resistance Band Set - GymBeam single_variant
32899-1-1000g-chocolate,Instantná ovsená kaša - GymBeam 1000 g - čokoláda
33121-2-500g,Ryžová kaša - Wolfberry 500 g
33397-1-salted-caramel,
33457-1-wild-berry-330ml,MOXY power+ Energy Drink 330 ml - GymBeam lesné ovocie - 330 ml
33457-2-mango-maracuja-330 ml,MOXY power+ Energy Drink 330 ml - GymBeam mango marakuja - 330 ml
33457-5-bluegrape-330ml,MOXY daily+ 330 ml - GymBeam 330 ml - modré-hrozno
33505-1-60ml,BIO Zázvorový shot s matchou - VanaVita 60 ml
33514-2-60ml,BIO Zázvorový shot s aróniou - VanaVita 60 ml
33523-1-60ml,BIO Mango shot s chilli a kurkumou - VanaVita 60 ml
34207-1-orange-lemon-cherry-60caps,Multivitamínové Yummies - GymBeam pomaranč citrón čerešňa - 60 kaps.
34219-1-120caps,Lecitín - GymBeam 120 kaps.
34225-1-90tab,Kyselina hyalurónová Forte - GymBeam 90 tab.
34240-1-120tab,Iron komplex - GymBeam 120 kaps.
3425-1,BCAA 1500 + Lysine - GymBeam 300 tab.
34375-black-3-M,Dámske tričko Basic Black - GymBeam M
34501-1-242ml-chocolate,25g Protein Milkshake - GymBeam 250 ml - čokoláda
34501-2-242ml-vanilla,25g Protein Milkshake - GymBeam 250 ml - vanilka
35272-1-750 ml,Šejker Steel White 750 ml - GymBeam single_variant
35320-1-1000g,Vitargo Energy - GymBeam 1000 g
35419-1-120caps,Vitamín D3+K1+K2 Forte - GymBeam 120 kaps.
35542-1-50g,Sušené mäso Beef Jerky - GymBeam 50 g - originál
35542-8-50g-barbecue,Sušené mäso Beef Jerky - GymBeam 50 g - barbecue
35998-1-90tab,Vitamín C + D3 1000 IU - GymBeam 90 kaps.
36004-1-90tab,Vitamín C + Zinok + extrakt zo zázvoru tablety na cmúľanie - GymBeam 90 tab.
36211-1-black,Opasok na závažie Dip Belt - GymBeam single_variant
36247-1-90caps,Cordyceps - GymBeam 90 kaps.
36253-1-90caps,Selén - GymBeam 90 kaps.
36262-1-1000g-unflavored,Tekuté vaječné bielka - GymBeam 1000 g
36298-1-mix,Sada posilňovacích gúm Resistance 5 - GymBeam single_variant
36310-1-black,Závesný posilňovací systém - GymBeam single_variant
36322-1-mix,Set odporových gúm DuoBand - GymBeam single_variant
36340-1-black,Šmykové podložky Core Sliders - GymBeam single_variant
36346-1-black,Závažia na zápästia a členky 2 kg - GymBeam single_variant
36460-1-250g,
36466-1-250g,
36676-1-60ml-forest-fruit,Collagen Beauty Shot - BeastPink 60 ml - lesné ovocie
36685-1-orange-60ml,Magnesium Shot - GymBeam pomaranč - 60 ml
36685-2-lemon-60ml,Magnesium Shot - GymBeam citrón - 60 ml
37023-1-340g,"Kešu maslo s kokosom, bielou čokoládou a jahodami - GymBeam 340 g"
37054-1-400g-milky-white,MoiMüv Protein Spread - GymBeam 400 g - milky
37054-2-400g-dreamy-hazelnut,MoiMüv Protein Spread - GymBeam 400 g - lieskový orech
3734-1-250g-cola,Bcaa 4:1:1 Instant - GymBeam 250 g - kola
3734-11-500g-citron-limetka,Bcaa 4:1:1 Instant - GymBeam 500 g - citrón limetka
3734-12-500g-vodny-melon,Bcaa 4:1:1 Instant - GymBeam 500 g - vodný melón
3734-13-500g-bez-prichute,Bcaa 4:1:1 Instant - GymBeam 500 g - bez príchute
3734-14-250g-blackcurrant,Bcaa 4:1:1 Instant - GymBeam 250 g - čierne ríbezle
3734-15-500g-cola,Bcaa 4:1:1 Instant - GymBeam 500 g - kola
3734-16-500g-blackcurrant,Bcaa 4:1:1 Instant - GymBeam 500 g - čierne ríbezle
3734-18-500g-strawberry-lime,Bcaa 4:1:1 Instant - GymBeam 500 g - jahoda limetka
3734-20-250g-mango-maracuja,Bcaa 4:1:1 Instant - GymBeam 250 g - mango marakuja
3734-22-500g-mango-maracuja,Bcaa 4:1:1 Instant - GymBeam 500 g - mango marakuja
3734-25-500g-orange,Bcaa 4:1:1 Instant - GymBeam 500 g - pomaranč
3734-26-500g-green-apple,Bcaa 4:1:1 Instant - GymBeam 500 g - zelené jablko
3734-27-250g-orange,Bcaa 4:1:1 Instant - GymBeam 250 g - pomaranč
3734-28-250g-green-apple,Bcaa 4:1:1 Instant - GymBeam 250 g - zelené jablko
3734-8-250g-citron-limetka,Bcaa 4:1:1 Instant - GymBeam 250 g - citrón limetka
3734-9-250g-vodny-melon,Bcaa 4:1:1 Instant - GymBeam 250 g - vodný melón
3738-1-500ml-pomaranc-220000,L-karnitín - GymBeam 500 ml - pomaranč
3738-2-1000ml-pomaranc-220000,L-karnitín - GymBeam 1000 ml - pomaranč
37858-1-385g,BIO Zero Fettuccine 385 g – GymBeam 385 g
37864-1-385g,BIO Zero Noodles 385 g – GymBeam 385 g
37870-1-385g,BIO Zero Rice 385 g – GymBeam 385 g
37876-1-385g,BIO Zero Špagety 385 g – GymBeam 385 g
37915-1-90caps,Ginkgo Biloba + Horčík – GymBeam 90 kaps.
37927-1-90tab,Kurkumin + Vitamín E - GymBeam 90 kaps.
37978-1-350ml,ZERO OMÁČKA sladké čili - GymBeam 350 ml
37984-1-350ml,ZERO SIRUP vanilka - GymBeam 350 ml
37996-1-seasalt,Proteínové čipsy - GymBeam 40 g - morská soľ
37996-2-paprika,Proteínové čipsy - GymBeam 40 g - paprika
37996-5-40g-chilliandlime,Proteínové čipsy - GymBeam 40 g - chilli a limetka
3807-1-250g,Arginín A.K.G. - GymBeam 250 g - bez príchute - 00
3807-2-500g,Arginín A.K.G. - GymBeam 500 g - bez príchute - 00
3810-1-250g,L-Glutamín - GymBeam 250 g - bez príchute - 00
3810-2-500g,L-Glutamín - GymBeam 500 g - bez príchute - 00
3810-3-1000g,L-Glutamín - GymBeam 1000 g - bez príchute - 00
3810-4-500g-lemon-lime,L-Glutamín - GymBeam 500 g - citrón limetka - 00
3810-5-500g-green-apple,L-Glutamín - GymBeam 500 g - zelené jablko - 00
3813-1-1000g,Maltodextrín - GymBeam 1000 g - bez príchute - 00
38158-2-black,Batoh Adventure Black - GymBeam single_variant
3816-1-150tab,HMB - GymBeam 180 tab.
3885-1-500g,100% Mikronizovaný kreatín monohydrát 500 g - bez príchute - 00
3885-2-1000g,100% Mikronizovaný kreatín monohydrát 1000 g - bez príchute - 00
3885-3-500g-lemon-lime,100% Mikronizovaný kreatín monohydrát 500 g - citrón limetka - 00
3885-4-500g-green-apple,100% Mikronizovaný kreatín monohydrát 500 g - zelené jablko - 00
3885-7-250g-unflavored,100% Mikronizovaný kreatín monohydrát 250 g - bez príchute - 00
38920-1-100g,Lyofilizované maliny - GymBeam 100 g
39070-1-100g,Lyofilizované jahody - GymBeam 100 g
39667-1-90tab,
40192-1-silver,Švihadlo Metal Jumping Rope Silver - GymBeam single_variant
404-154-vanilka-1000 g,Micelárny kazeín - GymBeam 1000 g - vanilka
404-2-cokolada-1000g,Micelárny kazeín - GymBeam 1000 g - čokoláda
40507-1-20tab,Multivitamín 100% šumivý - GymBeam pomaranč - 20 tab.
40864-1-90tab,Kyselina listová (vitamín B9) - GymBeam 90 tab.
41077-1-120caps,Marine Beauty - BeastPink 120 kaps.
41284-1-120tab,Melatonín - GymBeam 120 tab.
41332-1-90caps,NAC (N-acetyl-L-cysteín) - GymBeam 90 kaps.
41356-1-90caps,Rhodiola rosea - GymBeam 90 kaps.
42352-1-120tab,Vitamín C + zinok - GymBeam 120 tab.
4248-22-2270g-dvojita-cokolada,100% Whey Gold Standard - Optimum Nutrition 2250 g - dvojitá bohatá čokoláda
4248-28-908g-dvojita-holandska-cokolada,100% Whey Gold Standard - Optimum Nutrition 896 g - dvojitá bohatá čokoláda
43228-1-56g,Krieda Magnesium Block - GymBeam 56 g
43657-1-90caps,Nattokináza enzým - GymBeam 90 kaps.
43753-1-90caps,Vitamín K2 (menachinón) - GymBeam 90 kaps.
4393-4-L-cierno-sive,Fitness Rukavice Ronnie - GymBeam L
44242-1-60caps,Krilový olej - GymBeam 60 kaps. - 00
44248-1-120caps,Appetite Control - BeastPink + darček 120 kaps.
44254-1-120caps,Night Burn - BeastPink + darček 120 kaps.
4477-1,Trhačky X-Grip - GymBeam single_variant
4479-1,Trhačky - GymBeam single_variant
44941-1-black,Balančná podložka - GymBeam single_variant
44947-1-black,Členkové adaptéry - GymBeam single_variant
44953-1-black,Valec na cvičenie Foam Roller Black - GymBeam single_variant
45286-1-blue,Gélové vrecko Hot-Cold - GymBeam single_variant
46033-1-grey,Balančná podložka Half Ball - GymBeam single_variant
46045-1-midnightblue,"Športová fľaša Hydrator TT 2,5 l Midnight Blue - GymBeam single_variant"
46060-1-60caps-cherry,Probiotiká Yummies - GymBeam 60 kaps. - čerešňa
46066-1-90caps,Ženšen - GymBeam 90 kaps.
46072-1-90caps,Biotín (vitamín B7) - GymBeam 90 kaps.
46087-1-700ml,Šejker čierny Transparent Black 700 ml - GymBeam single_variant
46117-1-100g,BIO Japonský Matcha prášok - VanaVita 100 g
46228-1-340g,"Kešu maslo s kokosom, bielou čokoládou a čučoriedkami - GymBeam 340 g"
46435-1-90caps,Garcinia cambogia - GymBeam 90 kaps.
46456-1-60caps,Ekdysterón - GymBeam 60 kaps.
47629-1-black,Závažia na zápästia a členky 1 kg - GymBeam single_variant
48031-1-2500g-chocolate,Gainer True Gain - GymBeam 2500 g - čokoláda
48406-1-blueberryandwhitechocolate-75g,MoiMüv Protein Cookie - GymBeam čučoriedka biela čokoláda - 75 g
48406-3-doublechocolate-75g,MoiMüv Protein Cookie - GymBeam dvojitá čokoláda - 75 g
48406-5-saltedcaramel-75g,MoiMüv Protein Cookie - GymBeam slaný karamel - 75 g
48406-7-dvojitáčokoláda-75g,MoiMüv Protein Cookie - GymBeam dvojitá čokoláda - 75 g
48487-1-blackberry-75g,ReCharge Gél - GymBeam 75 g - ostružina
48487-2-greenapple-75g,ReCharge Gél - GymBeam 75 g - zelené jablko
48598-1-90caps,Podpora pečene - GymBeam 90 kaps.
48616-1-450ml,Čisté Ghí - GymBeam 450 ml
48727-1-black,Akupresúrna podložka Black - GymBeam čierna
48841-1-black,Fitness schod Stepper - GymBeam single_variant
48913-1-500g,Ružová Himalájska soľ 500g - jemná - GymBeam 500 g
48958-1-2x1000g,Neoprénové činky 2 x 1 kg - GymBeam svetlosivá
48967-1-2x2000g,Neoprénové činky 2 x 2 kg - GymBeam sivá
48997-1-brown,Plyometrická bedňa PlyoBox Wood - GymBeam single_variant
49003-1-black,Návlek Barbell pad - GymBeam single_variant
49153-2-51g-peanut,
49246-1-black,Masážna pištoľ VI Black - GymBeam single_variant
49804-1-50g-cocoaandcoconut,Proteínová tyčinka BIO Vegan Bar - VanaVita 50 g - kakao a kokos
49804-2-50g-sourcherry,Proteínová tyčinka BIO Vegan Bar - VanaVita 50 g - višňa
50062-1-1000g,Datľová pasta - GymBeam 1000 g
5012-1-cokolada,Sójový izolát - GymBeam 1000 g - čokoláda
5012-2-vanilla,Sójový izolát - GymBeam 1000 g - vanilka
5075-1-2500g-cokolada,True Whey - GymBeam 2500 g - čokoláda - 00
5075-10-2500g-banan,True Whey - GymBeam 2500 g - banán - 00
5075-15-2500g-cokolada-oriesok,True Whey - GymBeam 2500 g - čokoláda lieskový oriešok - 00
5075-2-2500g-vanilka,True Whey - GymBeam 2500 g - vanilka - 00
5075-20-2500g-white-chocolate-raspberry,True Whey - GymBeam 2500 g - biela čokoláda malina - 00
5075-24-1000g-white-chocolate-raspberry,True Whey - GymBeam 1000 g - biela čokoláda malina - 00
5075-25-1000g-chocolate,True Whey - GymBeam 1000 g - čokoláda - 00
5075-26-1000g-chocolate-coconut,True Whey - GymBeam 1000 g - čokoláda kokos - 00
5075-27-1000g-vanilla,True Whey - GymBeam 1000 g - vanilka - 00
5075-28-1000g-strawberry,True Whey - GymBeam 1000 g - jahoda - 00
5075-29-1000g-white-chocolate,True Whey - GymBeam 1000 g - biela čokoláda - 00
5075-3-2500g-jahoda,True Whey - GymBeam 2500 g - jahoda - 00
5075-31-1000g-banana,True Whey - GymBeam 1000 g - banán - 00
5075-32-1000g-bez-prichute,True Whey - GymBeam 1000 g - bez príchute - 00
5075-33-1000g-pistachio,True Whey - GymBeam 1000 g - pistácie - 00
5075-34-2500g-pistachio,True Whey - GymBeam 2500 g - pistácie - 00
5075-35-1000g-chocolate-stevia,True Whey - GymBeam 1000 g - čokoláda stévia - 00
5075-36-2500g-strawberry-stevia,True Whey - GymBeam 2500 g - jahoda stévia - 00
5075-37-2500g-vanilla-stevia,True Whey - GymBeam 2500 g - vanilka stévia - 00
5075-38-2500g-chocolate-stevia,True Whey - GymBeam 2500 g - čokoláda stévia - 00
5075-39-1000g-strawberry-stevia,True Whey - GymBeam 1000 g - jahoda stévia - 00
5075-4-2500g-cookies-cream,True Whey - GymBeam 2500 g - cookies & cream - 00
5075-40-1000g-vanilla-stevia,True Whey - GymBeam 1000 g - vanilka stévia - 00
5075-41-1000g-chocolate-hazelnut,True Whey - GymBeam 1000 g - čokoláda lieskový oriešok - 00
5075-47-1000g-cookies-cream,True Whey - GymBeam 1000 g - cookies & cream - 00
5075-57-2500g-peanut-butter,True Whey - GymBeam 2500 g - arašidové maslo - 00
5075-58-1000g-peanut-butter,True Whey - GymBeam 1000 g - arašidové maslo - 00
5075-59-2500g-chocolate-cherry,True Whey - GymBeam 2500 g - čokoláda čerešňa - 00
5075-6-2500g-bez-prichute,True Whey - GymBeam 2500 g - bez príchute - 00
5075-60-1000g-chocolate-cherry,True Whey - GymBeam 1000 g - čokoláda čerešňa - 00
5075-61-1000g-caramel,True Whey - GymBeam 1000 g - karamel - 00
5075-7-2500g-karamel,True Whey - GymBeam 2500 g - karamel - 00
5075-8-2500g-biela-cokolada,True Whey - GymBeam 2500 g - biela čokoláda - 00
5075-9-2500g-coklada-kokos,True Whey - GymBeam 2500 g - čokoláda kokos - 00
50965-1-black,Posilňovacie lano Battle Rope 12 m - GymBeam single_variant
5103-1-20eur,Darčekový poukaz 20 €
51178-1-4kg,Posilňovacia lopta Slam Ball - GymBeam 4 kg
51178-2-6kg,Posilňovacia lopta Slam Ball - GymBeam 6 kg
51178-3-8kg,Posilňovacia lopta Slam Ball - GymBeam 8 kg
51178-4-12kg,Posilňovacia lopta Slam Ball - GymBeam 12 kg
51190-2-8kg,Kettlebell black - GymBeam 8 kg
51190-3-12kg,Kettlebell black - GymBeam 12 kg
51208-1-5kg,Kotúč IRON 51 mm - GymBeam 5 kg
51208-2-10kg,Kotúč IRON 51 mm - GymBeam 10 kg
51208-3-15kg,Kotúč IRON 51 mm - GymBeam 15 kg
51208-4-20kg,Kotúč IRON 51 mm - GymBeam 20 kg
51493-1-300g,Proteínová granola s čokoládou - GymBeam 300 g
51541-1-90caps,Acetyl L-karnitín - GymBeam 90 kaps.
