order_number,category,note,link
1006544720,Vrátenie tovaru zákazníkom,"B2B klient (IGGY-TRADE) dostal nesprávne veľkosti fitness opaskov Jay (6×L, 1×S namiesto XL4/L2/M1). Výmena kus za kus nie je možná, tovar bol nepoužitý, GymBeam ho vyzdvihol kuriérom a vystavil dva dobropisy (4ks a 1ks).",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=SXG-MRQRJ-352
40001150117,Chýbajúci alebo poškodený tovar,"Reklamoval nedoručené 3x Creatine Capsules. Sklad po kontrole kamier tvrdil, že ich pribalil. Spor plus takmer deň čakania na odpoveď.",https://gymbeamteam.slack.com/archives/CCQ9BU8P4/p1752491077960979
103558643,Bez zistenej príčiny,,
1009473128,Chýbajúci alebo poškodený tovar,"B2B klientka (KOMATECH s.r.o.) reklamovala rozbité arašidové maslo v zásielke, doložila fotky. GymBeam vystavil dobropis; popri tom sa dvakrát opravovali fakturačné údaje (faktúra aj dobropis) na doplnenie IČO a DIČ, objednávala bez B2B registrácie.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=CGM-BTMML-419
31000989155,Chýbajúci alebo poškodený tovar,"V #claim-documents medzi gréckymi zásielkami, ku ktorým sa dohľadávali reklamačné podklady od prepravcu Geniki — poškodenie alebo strata.",https://gymbeamteam.slack.com/archives/C010YPG8DCK/p1724334171991739
11001161907,Chýbajúci alebo poškodený tovar,"Nedostal Kompresnú majicu (SKU 4637-3-S) — nebola na sklade, expedovalo sa bez nej a on to reklamoval.",https://gymbeamteam.slack.com/archives/C01Q0MSNRJ4/p1710333765942449
19000456337,Chýbajúci alebo poškodený tovar,"Reklamácia a vrátenie tovaru. Sklad potvrdil, že v balíku nebol priložený žiadny reklamačný doklad.",https://gymbeamteam.slack.com/archives/C010YPG8DCK/p1721830378779719
11001170718,Vrátenie tovaru zákazníkom,"B2B klient (BBK Press, HR) chcel po doručení vymeniť veľkosti 4 kusov oblečenia. Výmena kus za kus nie je možná, tak GymBeam poslal reklamačný formulár a zvozom GLS vybavil vrátenie tovaru s refundáciou.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=BBF-VDRBM-295
103578575,Administratíva a fakturácia,,https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversations
1005767138,Vrátenie tovaru zákazníkom,"B2B klientka reklamovala kokosový a vanilkový toping s príliš krátkou expiráciou (08/2023, 10/2023) — nestihla by ich predať vo svojej prevádzke. Novšia šarža nebola skladom, tak GymBeam po 6ks každého vyzdvihol kuriérom a vystavil dobropis.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=JQC-KZDVL-333
1011159437,Chýbajúci alebo poškodený tovar,"Uviazla v Payment Review. Časť položiek sa nedostala do faktúry — zaplatil 165 €, fakturovalo sa 128,34 €. Dobropis pokryl 30,71 €, zvyšných 36,65 € vrátil GymBeam priamo na účet po roku (nedodané položky neboli vyfakturované, tak k nim nešlo vystaviť klasický dobropis).",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=HGD-ZQCMS-759
1700011926,Bez zistenej príčiny,,
1005733694,Nerelevantné,Preklep v doméne (.cz namiesto .sk) a v Magente stornovaná objednávka. Nie je to odchod zákazníka — Alza nakupuje ďalej z iných adries.,
31001625536,Administratíva a fakturácia,"Objednávka sa nedodala v pôvodnej podobe, platba sa presúvala na náhradnú objednávku a vznikol rozdiel v cene dopravy. Uzavreté zápočtom takmer mesiac po objednávke.",https://gymbeamteam.slack.com/archives/CJ10TGGM8/p1749537851824489
